age,finalter,finrela,goodlife,satfin
30-39,Getting better,Below average,NA,Not satisfied
18-29,Getting better,Below average,NA,More or less satisfied
50-64,Getting worse,Below average,Agree,Pretty well satisfied
40-49,Stayed the same,Average,NA,More or less satisfied
40-49,Stayed the same,Below average,NA,Pretty well satisfied
40-49,Getting better,Average,Neither agree nor disagree,Not satisfied
30-39,Getting better,Average,Neither agree nor disagree,More or less satisfied
50-64,Getting worse,Below average,NA,Not satisfied
50-64,Getting worse,Far below average,Agree,Not satisfied
64-89,Stayed the same,Average,Neither agree nor disagree,More or less satisfied
64-89,Getting better,Average,Agree,More or less satisfied
50-64,Getting better,Above average,Neither agree nor disagree,More or less satisfied
64-89,Getting better,Below average,Agree,Pretty well satisfied
50-64,Stayed the same,Above average,Strongly disagree,Not satisfied
18-29,Getting better,Above average,Agree,More or less satisfied
50-64,Getting better,Average,Agree,More or less satisfied
64-89,Stayed the same,Average,Neither agree nor disagree,Pretty well satisfied
50-64,Stayed the same,Below average,Agree,Not satisfied
64-89,Stayed the same,Average,Neither agree nor disagree,More or less satisfied
64-89,Stayed the same,Average,Neither agree nor disagree,More or less satisfied
30-39,Getting better,Average,NA,More or less satisfied
64-89,Getting better,Average,Disagree,Pretty well satisfied
40-49,Stayed the same,Below average,Disagree,Not satisfied
40-49,Getting better,Far below average,Disagree,Not satisfied
64-89,Stayed the same,Above average,Neither agree nor disagree,Pretty well satisfied
64-89,Stayed the same,Below average,NA,Not satisfied
50-64,Getting worse,Above average,Strongly disagree,More or less satisfied
50-64,Stayed the same,Below average,NA,Not satisfied
50-64,Stayed the same,Below average,Disagree,Not satisfied
64-89,Stayed the same,Below average,NA,Pretty well satisfied
30-39,Getting better,Below average,Agree,Pretty well satisfied
50-64,Stayed the same,Average,Agree,More or less satisfied
64-89,Stayed the same,Far below average,Strongly agree,Not satisfied
50-64,Getting better,Above average,NA,More or less satisfied
30-39,Getting better,Below average,Neither agree nor disagree,Not satisfied
50-64,Getting worse,Average,Agree,Pretty well satisfied
18-29,Getting worse,Above average,NA,More or less satisfied
40-49,Stayed the same,Below average,Disagree,More or less satisfied
64-89,Getting better,Average,Agree,Not satisfied
40-49,Getting better,Average,NA,Pretty well satisfied
40-49,Stayed the same,Far below average,Agree,Not satisfied
50-64,Getting better,Above average,NA,Pretty well satisfied
30-39,Getting worse,Average,Agree,Not satisfied
18-29,Getting worse,Average,Neither agree nor disagree,More or less satisfied
50-64,Getting worse,Below average,Neither agree nor disagree,Not satisfied
64-89,Stayed the same,Above average,Agree,Pretty well satisfied
50-64,Stayed the same,Below average,Neither agree nor disagree,Not satisfied
50-64,Stayed the same,Average,NA,More or less satisfied
50-64,Stayed the same,Far above average,Agree,Not satisfied
64-89,Getting better,Average,NA,More or less satisfied
64-89,Getting better,Above average,Neither agree nor disagree,Pretty well satisfied
NA,Getting worse,Average,Agree,Not satisfied
18-29,Getting better,Below average,Strongly agree,More or less satisfied
50-64,Stayed the same,Below average,Strongly agree,Pretty well satisfied
30-39,Getting worse,Below average,Agree,Not satisfied
64-89,Stayed the same,Average,NA,More or less satisfied
NA,Stayed the same,Far below average,NA,Not satisfied
64-89,Stayed the same,Average,Agree,More or less satisfied
64-89,Getting better,Average,Strongly agree,Pretty well satisfied
64-89,Getting better,Far below average,Agree,Pretty well satisfied
50-64,Getting better,Above average,Neither agree nor disagree,Pretty well satisfied
40-49,Getting better,Above average,Strongly agree,Pretty well satisfied
NA,Getting better,Average,Strongly agree,Pretty well satisfied
64-89,Stayed the same,Below average,Neither agree nor disagree,Pretty well satisfied
18-29,Getting better,Average,Strongly agree,Pretty well satisfied
NA,Getting better,Far below average,Agree,Not satisfied
50-64,Getting better,Above average,Strongly agree,Pretty well satisfied
50-64,Stayed the same,Above average,NA,More or less satisfied
64-89,Stayed the same,Average,NA,Not satisfied
64-89,Stayed the same,Average,Agree,Not satisfied
64-89,Stayed the same,Average,Neither agree nor disagree,More or less satisfied
64-89,Stayed the same,Average,Neither agree nor disagree,More or less satisfied
50-64,Getting worse,Far below average,NA,Not satisfied
40-49,Getting worse,Far below average,Neither agree nor disagree,Not satisfied
NA,Getting worse,Far below average,NA,Not satisfied
40-49,Getting worse,Average,Disagree,Not satisfied
NA,Stayed the same,Average,NA,NA
30-39,Getting worse,Above average,NA,Not satisfied
NA,Stayed the same,Below average,Neither agree nor disagree,Not satisfied
64-89,Stayed the same,Average,NA,More or less satisfied
64-89,Getting better,Average,Neither agree nor disagree,More or less satisfied
64-89,Stayed the same,Below average,NA,More or less satisfied
64-89,Stayed the same,Below average,Strongly agree,More or less satisfied
50-64,Getting better,Average,Agree,More or less satisfied
NA,Getting worse,Average,NA,More or less satisfied
30-39,Getting better,Above average,Strongly agree,Pretty well satisfied
50-64,Getting worse,Average,NA,More or less satisfied
NA,Stayed the same,Below average,NA,More or less satisfied
30-39,Stayed the same,Average,Neither agree nor disagree,Not satisfied
64-89,Getting better,Above average,Agree,Pretty well satisfied
64-89,Getting worse,Below average,Neither agree nor disagree,More or less satisfied
NA,Getting better,Below average,Agree,More or less satisfied
50-64,Stayed the same,Far above average,NA,Not satisfied
64-89,Stayed the same,Above average,Agree,Pretty well satisfied
64-89,Stayed the same,Average,NA,More or less satisfied
50-64,Getting better,Average,Agree,More or less satisfied
50-64,Stayed the same,Average,Disagree,Pretty well satisfied
30-39,Stayed the same,Average,Agree,More or less satisfied
40-49,Getting better,Average,NA,More or less satisfied
64-89,Getting better,Average,NA,More or less satisfied
64-89,Stayed the same,Far above average,NA,Pretty well satisfied
64-89,Stayed the same,Average,Agree,More or less satisfied
18-29,Stayed the same,Below average,Neither agree nor disagree,More or less satisfied
64-89,Getting worse,Below average,NA,Not satisfied
64-89,Stayed the same,Above average,Strongly agree,More or less satisfied
30-39,Getting worse,Average,Neither agree nor disagree,Not satisfied
50-64,Getting better,Average,Disagree,Not satisfied
18-29,Stayed the same,Below average,NA,Not satisfied
NA,Stayed the same,Above average,NA,More or less satisfied
18-29,Getting worse,Below average,NA,Not satisfied
50-64,Getting worse,Below average,Disagree,More or less satisfied
30-39,Stayed the same,Above average,NA,More or less satisfied
18-29,Getting worse,Below average,Agree,Pretty well satisfied
64-89,Getting worse,Average,Disagree,More or less satisfied
50-64,Stayed the same,Above average,NA,More or less satisfied
64-89,Stayed the same,Average,Disagree,More or less satisfied
50-64,Stayed the same,Above average,NA,More or less satisfied
64-89,Getting better,Above average,Agree,Pretty well satisfied
50-64,Stayed the same,Average,Neither agree nor disagree,More or less satisfied
64-89,Stayed the same,Average,NA,Pretty well satisfied
50-64,Getting better,Above average,NA,Pretty well satisfied
40-49,Getting better,Average,Strongly agree,Pretty well satisfied
50-64,Stayed the same,Far below average,Neither agree nor disagree,More or less satisfied
30-39,Getting worse,Below average,Disagree,Not satisfied
50-64,Stayed the same,Below average,Disagree,Not satisfied
30-39,Getting better,Average,Agree,Pretty well satisfied
64-89,Stayed the same,Average,Disagree,More or less satisfied
NA,Getting worse,Below average,Agree,Not satisfied
50-64,Getting better,Average,Strongly agree,Not satisfied
64-89,Stayed the same,Above average,Agree,Pretty well satisfied
NA,Getting better,Average,NA,More or less satisfied
64-89,Getting worse,Below average,Neither agree nor disagree,More or less satisfied
40-49,Getting better,Average,Neither agree nor disagree,More or less satisfied
64-89,Getting better,Above average,Agree,Pretty well satisfied
64-89,Stayed the same,Average,Neither agree nor disagree,More or less satisfied
NA,Stayed the same,Above average,Agree,Pretty well satisfied
50-64,Stayed the same,Below average,Neither agree nor disagree,Not satisfied
40-49,Getting better,Above average,NA,Pretty well satisfied
18-29,Getting better,Above average,Neither agree nor disagree,More or less satisfied
50-64,Stayed the same,Above average,Neither agree nor disagree,More or less satisfied
30-39,Getting better,Below average,Disagree,Pretty well satisfied
64-89,Stayed the same,Average,Agree,Pretty well satisfied
30-39,Stayed the same,Below average,NA,More or less satisfied
64-89,Stayed the same,Average,Agree,More or less satisfied
50-64,Stayed the same,Average,NA,Pretty well satisfied
18-29,Stayed the same,Average,Neither agree nor disagree,More or less satisfied
30-39,Getting better,Far above average,NA,Pretty well satisfied
64-89,Getting better,Above average,Agree,Pretty well satisfied
50-64,Getting better,Above average,Agree,Pretty well satisfied
64-89,Stayed the same,Far below average,Agree,Pretty well satisfied
40-49,Getting worse,Average,Agree,More or less satisfied
50-64,Getting worse,Above average,Strongly disagree,Not satisfied
30-39,Getting better,Below average,NA,Not satisfied
30-39,Getting better,Average,NA,More or less satisfied
64-89,Stayed the same,Above average,Disagree,Pretty well satisfied
18-29,Getting worse,Far below average,Neither agree nor disagree,More or less satisfied
50-64,Getting better,Above average,Neither agree nor disagree,More or less satisfied
50-64,Stayed the same,Above average,NA,More or less satisfied
30-39,Stayed the same,Average,Agree,Not satisfied
64-89,Getting better,Above average,Agree,Pretty well satisfied
64-89,Getting better,Below average,Disagree,More or less satisfied
50-64,Getting better,Above average,Disagree,Pretty well satisfied
50-64,Getting better,Above average,Agree,More or less satisfied
18-29,Getting better,Above average,Disagree,More or less satisfied
18-29,Getting worse,Average,Neither agree nor disagree,More or less satisfied
64-89,Getting worse,Average,Neither agree nor disagree,Not satisfied
64-89,Stayed the same,Average,Agree,Pretty well satisfied
40-49,Getting better,Above average,Agree,Pretty well satisfied
30-39,Getting better,Above average,Neither agree nor disagree,More or less satisfied
50-64,Getting better,Far below average,Disagree,Not satisfied
50-64,Getting better,Average,Disagree,More or less satisfied
50-64,Stayed the same,Far above average,Agree,Pretty well satisfied
18-29,Getting better,Average,Agree,Pretty well satisfied
30-39,Getting better,Average,Agree,More or less satisfied
NA,Getting better,Average,Agree,More or less satisfied
64-89,Stayed the same,Above average,Agree,Pretty well satisfied
50-64,Getting better,Average,NA,Not satisfied
40-49,Getting better,Below average,Neither agree nor disagree,Not satisfied
64-89,Stayed the same,Average,Agree,Pretty well satisfied
18-29,Stayed the same,Average,Agree,Pretty well satisfied
NA,Getting better,Average,Neither agree nor disagree,Not satisfied
64-89,Stayed the same,Average,NA,Pretty well satisfied
50-64,Getting worse,Average,Agree,More or less satisfied
64-89,Stayed the same,Average,Neither agree nor disagree,Pretty well satisfied
64-89,Stayed the same,Average,Neither agree nor disagree,More or less satisfied
50-64,Getting better,Above average,NA,Pretty well satisfied
64-89,Stayed the same,Average,Disagree,More or less satisfied
NA,Stayed the same,Far above average,NA,More or less satisfied
50-64,Stayed the same,Above average,Neither agree nor disagree,More or less satisfied
64-89,Stayed the same,Average,Disagree,More or less satisfied
64-89,Stayed the same,Above average,NA,Pretty well satisfied
50-64,Stayed the same,Far above average,Agree,Pretty well satisfied
30-39,Getting worse,Average,NA,Not satisfied
50-64,Getting better,Below average,Agree,More or less satisfied
30-39,Getting better,Average,Strongly disagree,Not satisfied
NA,Stayed the same,Average,Disagree,More or less satisfied
50-64,Stayed the same,Average,Neither agree nor disagree,More or less satisfied
